station_id,name,address,city,services
372,מעלות,"שד' מ""ג המעפילים כניסה מערבית מעלות",מעלות-תרשיחא,yellow | 24/7 | כספומט | בנזין 98 | אוריאה | תרופות ללא מרשם
247,מערב ראשון,"רח' רוזנסקי מערב ראשל""צ  7",ראשון לציון,yellow | 24/7 | בנזין 98
378,מפגש ארבל-מגדל,אחרי מגדל כביש בין צ.צלמון לצ.מגדל,מגדל,yellow | 24/7 | פז charge | מיכלי גז
352,מצפה גולן,שד' ספיר צומת 77 כניסה לטבריה ממערב.,טבריה,yellow | 24/7
413,מצפה טורען,כביש 65 לכיוון צומת גולני,טורעאן,yellow | 24/7 | בנזין 98 | פז charge | אוריאה | מיכלי גז
249,נאות אביב,דובנוב  7,תל אביב - יפו,פז charge | תדלוק בשירות מלא
605,נאות מדבר,דרך מצדה  266,באר שבע,"פז wash | yellow | 24/7 | גפ""מ | תרופות ללא מרשם"
316,נהריה,כביש 4 מול הכניסה לנהריה,נהריה,yellow | 24/7 | כספומט | בנזין 98 | פז charge | אוריאה | תרופות ללא מרשם
427,נהריה לוחמי הגטאות,אזור התעשייה,נהריה,yellow | 24/7 | בנזין 98 | תרופות ללא מרשם
511,נווה יעקב,דרך רמאללה,ירושלים,תדלוק בשירות מלא
236,נווה עוז,דרך יצחק רבין דגניה ליד בית חרושת אוסם 5,פתח תקווה,yellow | 24/7 | בנזין 98 | מיכלי גז
107,נווה צדק (רחוב אילת),אילת  35,תל אביב - יפו,yellow | שומרות שבת | פז charge
266,נויה,כביש 40 בכניסה לקיבוץ גבעת ברנר,גבעת ברנר,פז wash | yellow | 24/7 | בנזין 98 | פז charge
348,נורדיה,כביש 4  דרומית לצומת השרון,נורדיה,24/7 | פז charge
212,נחלת יהודה,כביש בית דגן- ראשון לציון  מול המכון הוטרינרי,ראשון לציון,"פז wash | yellow market | 24/7 | פלאפל בריבוע | גפ""מ | כספומט | בנזין 98 | אוריאה | מיכלי גז | תרופות ללא מרשם"
376,נטופה,כביש 77 צומת המוביל לכוון טבריה,מצפה נטופה,פז charge | אוריאה
146,ניר גלים,יציאה צפונית של אשדוד ליד ניר גלים,אשדוד,yellow | שומרות שבת | בנזין 98 | פז charge | אוריאה
414,נצרת עילית,מעלה יצחק  25,נוף הגליל,yellow | 24/7
332,נצרת עץ הזית,פאולוס הששי רח' ראשי,נצרת,yellow | 24/7 | כספומט | תדלוק בשירות מלא
612,נתיבות החדשה,בעלי המלאכה 97,נתיבות,שומרות שבת | פז charge | תדלוק בשירות מלא | תרופות ללא מרשם
339,נתניה עיר,הרצל  48,נתניה,yellow | שומרות שבת
132,סביון,כביש מסובים יהוד- צומת סביון,אור יהודה,yellow market | 24/7 | פלאפל בריבוע | כספומט | בנזין 98 | פז charge | תדלוק בשירות מלא | תרופות ללא מרשם
362,סולם צור,כביש נהריה - ראש הנקרה א.ת.לימן,נהריה,פז charge
354,סטלה מאריס,אליהו חכים 1 כרמל צרפתי,חיפה,yellow | פז charge
210,סילבר,כביש אשקלון אשדוד צומת סילבר,אשקלון,yellow | 24/7 | כספומט | בנזין 98 | פז charge | אוריאה | מיכלי גז | תרופות ללא מרשם
400,סכנין,רחוב ראשי  ליד משרד הרישוי,סח'נין,
422,סכנין החדשה,סכנין,סח'נין,24/7 | תדלוק בשירות מלא
131,סלמה,דרך סלמה  27,תל אביב - יפו,yellow | שומרות שבת
611,עבדת,"כביש ב""ש מצפה רמון אתר עבדת",באר שבע,yellow | 24/7 | פז charge | אוריאה | מיכלי גז | תרופות ללא מרשם
193,עד הלום,א.ת. עד-הלום כביש אשדוד אשקלון,אשדוד,"פז wash | 24/7 | גפ""מ | כספומט | בנזין 98 | פז charge | אוריאה | תרופות ללא מרשם"
337,עוז בת גלים,דרך יפו  196,חיפה,yellow | 24/7
341,עוז נתניה / עוזנת,מחלף נתניה צפון (הרצל 102 ),נתניה,yellow | 24/7
159,עוז ראשון לציון,הרצל  15,ראשון לציון,yellow | תדלוק בשירות מלא
160,עוז רמת גן,זבוטינסקי  37,רמת גן,yellow | 24/7 | כספומט | בנזין 98
389,עוספיה,כביש ראשי עוספיה  ביציאה לכיוון חיפה,עספיא,yellow | 24/7 | כספומט | בנזין 98 | תרופות ללא מרשם
239,עופרה,בכניסה לישוב,עופרה,yellow | שומרות שבת
349,עוקף נצרת,כביש עוקף נצרת,נצרת,yellow | 24/7 | כספומט | בנזין 98 | פז charge | תדלוק בשירות מלא
178,עוקף רמלה,כביש עוקף רמלה דרך ירושלים,רמלה,yellow | 24/7 | כספומט | אוריאה
533,עזרא  גבריאל,המדע א.ת. הצפוני  32,אשדוד,yellow | שומרות שבת | אוריאה
509,עזריה,דרך יריחו,ירושלים,תדלוק בשירות מלא
246,עין ורד,בכניסה למושב עין ורד,עין ורד,yellow market | 24/7 | תרופות ללא מרשם
609,עין חצבה,כביש הערבה מושב עין חצבה,עין חצבה,24/7 | פז charge | מיכלי גז | תרופות ללא מרשם
301,עכו עיר,דרך הארבעה  7,עכו,yellow | 24/7 | בנזין 98
300,עכו צפון,כביש ישן עכו-נהריה מול מכללת הגליל,עכו,yellow | 24/7
133,עלית רמת גן,הראשונים  2,רמת גן,yellow | 24/7
625,עמיעוז,דרומה לצומת מגן,עמיעוז,yellow | 24/7
631,עמק שרה,ליד קוסמוס חוצות להב עמק שרה,באר שבע,yellow | 24/7 | פז charge | אוריאה
302,עפולה,חטיבה תשע,עפולה,שומרות שבת | פז charge
331,עתלית,"כביש חיפה-ת""א הישן צומת עתלית",עתלית,yellow
124,"פ""ת עיר",ז'בוטינסקי 6,פתח תקווה,yellow | שומרות שבת
242,"פז ""משה""",רכטמן רחובות רחובות  כרמן גבריאלוב פינת היצירה א.ת קלמן גברי,רחובות,yellow | שומרות שבת | בנזין 98
4101,פז CHARGE ביג צ'ק פוסט,דרך בר יהודה  111,חיפה,פז charge
261,פז אור יהודה,יהונתן נתניהו 6,אור יהודה,yellow | שומרות שבת | בנזין 98 | פז charge | תרופות ללא מרשם
633,פז גדרה,רח' מנחם בגין לפני היציאה לכביש 3933,גדרה,"yellow | 24/7 | גפ""מ | בנזין 98 | פז charge | תרופות ללא מרשם"
192,פז גן,קויפמן 7 מול בית גיבור,תל אביב - יפו,yellow | 24/7 | בנזין 98
632,פז השקמה,בית קמה,בית קמה,yellow | 24/7 | בנזין 98 | פז charge | אוריאה | מיכלי גז | תרופות ללא מרשם
432,פז כורדני,שד' ירושלים,קרית מוצקין,yellow market | 24/7 | פז charge | תרופות ללא מרשם
431,פז מע'אר,כביש 807 מעאר,מגאר,yellow | 24/7 | כספומט | אוריאה | תדלוק בשירות מלא
623,פז-בר,דרך חברון ליד המכתשים,באר שבע,בנזין 98 | אוריאה
183,פנינת השומרון,"קרני שומרון (יו""ש)",קרני שומרון,yellow | שומרות שבת | אוריאה
529,פסגת זאב,שד' משה דיין- פסגת זאב,ירושלים,yellow | שומרות שבת | כספומט | פז charge | תדלוק בשירות מלא
371,פקיעין,כניסה לפקיעין צומת חוסן-רמה,פקיעין חדשה,yellow | 24/7 | כספומט | בנזין 98 | אוריאה | תדלוק בשירות מלא
318,פרדס חנה,רח' הנדיב,פרדס חנה-כרכור,תדלוק בשירות מלא
123,פתח תקוה צפון,הירקונים  2,פתח תקווה,yellow | שומרות שבת | אוריאה
121,צבר,דרך ירושלים 8,אזור,"yellow | 24/7 | גפ""מ | פז charge | מיכלי גז | תרופות ללא מרשם"
516,צומת האלה,"כביש בית שמש - י""ם",ירושלים,yellow | 24/7 | בנזין 98 | פז charge | מיכלי גז
430,צומת כח,מפגש כביש 90 עם כביש 899,קרית שמונה,"yellow | 24/7 | גפ""מ | כספומט | בנזין 98 | פז charge | אוריאה | מיכלי גז | תרופות ללא מרשם"
340,צומת נתניה,כביש חיפה תל אביב בצומת נתניה צפון,נתניה,yellow | 24/7 | פלאפל בריבוע | כספומט | בנזין 98 | אוריאה | מיכלי גז | תרופות ללא מרשם
343,צמח,צומת צמח-עמק הירדן,טבריה,"yellow | 24/7 | גפ""מ | כספומט | בנזין 98 | פז charge | אוריאה | מיכלי גז | תרופות ללא מרשם"
320,צפת,דרך העצמאות מול תחנה מרכזית אגד,צפת,yellow | שומרות שבת | כספומט | פז charge
165,קבוץ גלויות,קיבוץ גלויות  100,תל אביב - יפו,yellow | 24/7 | בנזין 98 | אוריאה
184,קדימה,כביש 4 אחרי צומת קדימה (לכיוון לצפון),קדימה-צורן,yellow market | 24/7 | כספומט | בנזין 98 | פז charge | אוריאה
255,קואופ רמלה,שד' ירושלים,רמלה,yellow | 24/7 | פז charge
363,קיט ונופש,"פינת רחוב פלימן מול קניון חיפה(המת""מ)",חיפה,yellow | 24/7 | בנזין 98
355,קיסריה,מחלף קיסריה ליד תחנת הכח,קיסריה,פז wash | yellow | 24/7 | כספומט | בנזין 98 | פז charge | מיכלי גז | תרופות ללא מרשם
428,קצרין,מס' 4   א.תעשיה,קצרין,yellow | 24/7 | אוריאה
190,קריית שרת,האורגים  6,חולון,yellow | 24/7 | אוריאה
177,קרית אונו,לוי אשכול  23,קרית אונו,yellow market | 24/7 | כספומט | תדלוק בשירות מלא | מיכלי גז | תרופות ללא מרשם
532,קרית ארבע החדשה,כביש 60  בכניסה לקרית ארבע,קרית ארבע,yellow | שומרות שבת | אוריאה
202,קרית אריה,היצירה  8,פתח תקווה,yellow | שומרות שבת
329,קרית אתא,דרך דשנים 18 כניסה מערבית לקרית אתא,קרית אתא,yellow | 24/7
330,קרית ביאליק,"דרך עכו חיפה  א""ת קרית ביאליק לכיוון צפון",קרית ביאליק,yellow | 24/7 | פז charge | אוריאה
118,קרית גת,שדרות דרום  3,קרית גת,פז wash | yellow | שומרות שבת | פז charge | אוריאה | תרופות ללא מרשם
604,קרית הממשלה,דרך פועלי בנין  8,באר שבע,yellow market | 24/7 | פז charge | תרופות ללא מרשם
115,קרית מלאכי,"צה""ל",קרית מלאכי,yellow | שומרות שבת | פז charge
514,קרית מנחם,דרך הנרייטה סאלד,ירושלים,yellow market | 24/7 | פז charge | תרופות ללא מרשם
